Gender,GroupRole,GPA,ClassStanding
F,1,2.488372,Junior
F,1,2.5469613,Senior
F,1,2.6440677,Junior
F,1,2.690845,Senior
F,1,2.7287128,Junior
F,1,2.7842105,Junior
F,1,2.8230769,Sophomore
F,1,2.9705263,Junior
F,1,2.9833333,Sophomore
F,1,3.0425675,Junior
F,1,3.0736842,Senior
F,1,3.1822784,Sophomore
F,1,3.1948717,Junior
F,1,3.2329113,Sophomore
F,1,3.45,Non-Matriculated
F,1,3.4616666,Sophomore
F,1,3.575,Sophomore
F,1,3.595,Senior
F,1,3.6878378,Junior
F,1,3.7424657,Sophomore
F,1,3.85,Fifth Year
F,1,3.8762711,Junior
F,2,2.5393939,Non-Matriculated
F,2,2.5553191,Junior
F,2,2.6714285,Senior
F,2,2.905,Freshman
F,2,2.9344086,Senior
F,2,3.0578947,Sophomore
F,2,3.0813559,Sophomore
F,2,3.0964285,Junior
F,2,3.1268041,Junior
F,2,3.3462365,Junior
F,2,3.4410958,Sophomore
F,2,3.5480519,Sophomore
F,2,3.6071428,Sophomore
F,2,3.6183333,Junior
F,2,3.6984848,Sophomore
F,3,2.3857142,Junior
F,3,2.55,Non-Matriculated
F,3,2.6230769,Junior
F,3,2.7092715,Junior
F,3,2.9062015,Junior
F,3,2.93125,Sophomore
F,3,2.9367924,Junior
F,3,2.9725,Sophomore
F,3,2.9846938,Junior
F,3,3.0419753,Senior
F,3,3.0507246,Junior
F,3,3.0541666,Sophomore
F,3,3.0634615,Sophomore
F,3,3.0774193,Sophomore
F,3,3.1101694,Junior
F,3,3.1297297,Sophomore
F,3,3.1328358,Senior
F,3,3.1623376,Junior
F,3,3.1831683,Sophomore
F,3,3.1878787,Senior
F,3,3.2416666,Sophomore
F,3,3.2529411,Senior
F,3,3.2767857,Sophomore
F,3,3.3,Sophomore
F,3,3.3084745,Sophomore
F,3,3.338983,Sophomore
F,3,3.3485294,Sophomore
F,3,3.3537313,Junior
F,3,3.364,Sophomore
F,3,3.3762711,Sophomore
F,3,3.3809523,Sophomore
F,3,3.3833333,Sophomore
F,3,3.3895522,Sophomore
F,3,3.390196,Junior
F,3,3.3942857,Junior
F,3,3.4174603,Sophomore
F,3,3.4222222,Sophomore
F,3,3.4409836,Sophomore
F,3,3.460606,Sophomore
F,3,3.4625,Junior
F,3,3.4805555,Junior
F,3,3.4970149,Sophomore
F,3,3.5267857,Junior
F,3,3.535,Sophomore
F,3,3.5531914,Junior
F,3,3.5776,Senior
F,3,3.5803571,Junior
F,3,3.6065789,Junior
F,3,3.6107692,Sophomore
F,3,3.6157894,Junior
F,3,3.6215686,Junior
F,3,3.6254237,Sophomore
F,3,3.6564516,Sophomore
F,3,3.6580882,Senior
F,3,3.6642857,Sophomore
F,3,3.6666666,Junior
F,3,3.6666666,Junior
F,3,3.7218181,Sophomore
F,3,3.7268292,Junior
F,3,3.7333333,Junior
F,3,3.76875,Junior
F,3,3.8390243,Senior
F,3,3.8448717,Sophomore
F,3,3.9,Fifth Year
F,3,3.9,Sophomore
F,3,3.9245614,Junior
F,3,4,Non-Matriculated
F,4,2.5405405,Junior
F,4,3.0637931,Senior
F,4,3.0876543,Sophomore
F,4,3.1,Junior
F,4,3.3723076,Sophomore
F,4,3.4440677,Sophomore
F,4,3.5106382,Junior
F,4,3.6084745,Junior
F,4,3.698305,Sophomore
F,4,3.8122807,Sophomore
F,4,3.9421052,Sophomore
F,4,3.9545454,Sophomore
F,5,2.3759124,Junior
F,5,2.4606557,Sophomore
F,5,2.6449541,Sophomore
F,5,2.8090909,Junior
F,5,2.8465346,Sophomore
F,5,2.9375,Junior
F,5,2.95,Junior
F,5,2.9990196,Junior
F,5,3.0166666,Junior
F,5,3.0333333,Sophomore
F,5,3.1229508,Senior
F,5,3.2492537,Sophomore
F,5,3.31,Junior
F,5,3.379452,Junior
F,5,3.3833333,Junior
F,5,3.5377777,Senior
F,5,3.8057971,Sophomore
F,5,3.9032786,Junior
F,NA,2.2245901,Sophomore
F,NA,2.4932584,Sophomore
F,NA,2.96,Junior
F,NA,3.3734939,Sophomore
F,NA,3.4791946,Senior
F,NA,3.5,Sophomore
F,NA,3.556962,Junior
F,NA,3.6342465,Sophomore
M,1,2.0490566,Sophomore
M,1,2.7306451,Sophomore
M,1,2.8236363,Sophomore
M,1,2.8319444,Senior
M,1,2.9333333,Junior
M,1,3,Sophomore
M,1,3.0164556,Junior
M,1,3.0254716,Junior
M,1,3.0851851,Junior
M,1,3.0894736,Junior
M,1,3.1203703,Sophomore
M,1,3.177551,Sophomore
M,1,3.18,Sophomore
M,1,3.2027027,Sophomore
M,1,3.2383561,Junior
M,1,3.2446428,Junior
M,1,3.278761,Senior
M,1,3.3279069,Junior
M,1,3.3690647,Junior
M,1,3.3786516,Junior
M,1,3.3892307,Sophomore
M,1,3.3908256,Junior
M,1,3.4254901,Junior
M,1,3.4444444,Fifth Year
M,1,3.4768115,Junior
M,1,3.4775862,Sophomore
M,1,3.4818181,Sophomore
M,1,3.4891891,Junior
M,1,3.5101694,Senior
M,1,3.5716666,Sophomore
M,1,3.5949152,Sophomore
M,1,3.65,Senior
M,1,3.7,Junior
M,1,3.7416666,Junior
M,1,3.7475609,Sophomore
M,1,3.7677966,Sophomore
M,1,3.795,Junior
M,1,3.8095238,Junior
M,1,3.8148148,Freshman
M,1,3.9768115,Sophomore
M,1,4,Sophomore
M,2,2.0142857,Junior
M,2,2.464423,Junior
M,2,2.6537037,Junior
M,2,3.1188888,Junior
M,2,3.2028301,Junior
M,2,3.5319148,Sophomore
M,2,3.5986486,Junior
M,2,3.7607594,Junior
M,3,1.9522727,Junior
M,3,2.4323741,Junior
M,3,2.45,Sophomore
M,3,2.575,Junior
M,3,2.5908163,Junior
M,3,2.6564245,Senior
M,3,2.6634482,Senior
M,3,2.6777777,Sophomore
M,3,2.8,Junior
M,3,2.8478873,Sophomore
M,3,2.8724637,Sophomore
M,3,2.9126436,Sophomore
M,3,2.97,Junior
M,3,3.0037037,Sophomore
M,3,3.05,Junior
M,3,3.1479166,Junior
M,3,3.1774193,Sophomore
M,3,3.25,Sophomore
M,3,3.4583333,Sophomore
M,3,3.5130841,Junior
M,3,3.5581818,Junior
M,3,3.5790322,Sophomore
M,3,3.5923076,Senior
M,3,3.618644,Sophomore
M,3,3.646875,Sophomore
M,3,3.762295,Sophomore
M,3,3.7634146,Senior
M,3,3.809836,Sophomore
M,3,3.836923,Sophomore
M,3,3.8384615,Sophomore
M,3,3.8965517,Junior
M,4,3.1329896,Sophomore
M,4,3.6416666,Sophomore
M,5,1.4454545,Junior
M,5,2.4490384,Junior
M,5,2.6581005,Senior
M,5,2.808421,Sophomore
M,5,3.116,Senior
M,5,3.290566,Senior
M,5,3.4261682,Junior
M,5,3.45625,Sophomore
M,5,3.5881355,Junior
