interest	utility	cost	course	gender	year	high.math
5.75	7	6	1	F	1	Calc
5	6.25	5.7	1	F	1	Calc
2	5	7	0	F	1	Stats
6	7	3.3	0	F	2	Calc
5.25	6	5.7	1	F	2	pCalc
2	4.5	6.3	1	F	2	pCalc
6	6.75	6	1	F	2	pCalc
5	6.75	3.7	0	F	2	pCalc
2.75	6.5	7	0	F	3	Calc
6.75	6.5	4	1	F	3	Calc
5.75	6	5	1	F	3	Calc
4.5	5.5	5	0	F	3	Calc
6	7	3	1	F	3	Calc
6	6.5	3.3	1	F	3	pCalc
4	6	4.3	1	F	3	pCalc
6.5	7	3.7	1	F	3	pCalc
4.25	5.25	6.7	0	F	3	Stats
3.25	6	5	0	F	4	Calc
5.5	7	6.7	1	F	4	Calc
4.5	7	4.3	1	F	4	Calc
4.75	6	6	1	F	4	Calc
4.75	4.75	5.3	1	F	4	pCalc
5.25	6	3	1	F	4	pCalc
5.75	7	6	1	F	4	Stats
5	6.25	2	0	M	1	Calc
2.75	5	3	1	F	1	Calc
6	6	2	1	F	1	Calc
1.25	4.75	6.3	0	F	1	pCalc
3	7	5.7	0	F	1	pCalc
4	6.5	5.7	0	M	1	Stats
2.25	1.75	7	0	M	1	Stats
4.75	6	5.3	1	M	1	Calc
3.25	7	6.7	1	F	2	Alg
2	5	6.3	0	M	2	Alg
2	6.25	5.7	0	F	2	Calc
5.75	6.25	5	1	M	2	Calc
4.75	5.25	5.7	0	F	2	Calc
6	6.75	2	1	F	2	Calc
4	6.25	4.3	1	M	2	Calc
7	5	1.7	1	M	2	Calc
5.5	6.75	3.7	1	F	2	Calc
3	6	6	1	F	2	Calc
5.75	6	5	1	F	2	pCalc
4	6	5.3	0	F	2	pCalc
3.75	7	7	0	F	3	Alg
5.25	5.75	6.7	1	F	3	Calc
2.5	6.75	4.3	0	F	3	Calc
7	7	3	1	F	3	Calc
2.75	3.25	6.3	0	F	3	pCalc
3.5	5.25	5	0	F	3	pCalc
4.5	5	6	1	F	3	pCalc
5.5	7	6	0	F	3	pCalc
6.75	5.75	6	1	M	3	pCalc
5.25	5.75	5.3	1	F	3	pCalc
1	4.25	6.7	0	F	3	pCalc
2	4.75	6.3	0	M	3	pCalc
6.25	7	3	1	F	3	pCalc
6	6	3.7	1	F	3	pCalc
4	5.75	4.7	0	F	3	Stats
2	2	6.7	0	F	3	Stats
3	5.5	7	0	F	4	Alg
4	5.75	3.3	1	M	4	Calc
4.25	5	5	0	F	4	Calc
6.25	6.75	2	1	F	4	Calc
3.5	6	3.3	0	F	4	Calc
3.5	5.75	6.3	0	M	4	Calc
5.75	6.25	2	0	M	4	Calc
5	5.5	5	0	F	4	pCalc
2.75	5	5.3	0	F	4	Stats
7	5	5	1	M	4	Calc
6.25	6.5	3	0	F	4	pCalc
6.5	6.75	5.7	1	F	3	Alg
7	5.75	1.7	1	M	1	Alg
4.75	5.25	6.3	1	F	1	Alg
5.5	6.5	3	1	F	1	Alg
3.25	5.25	5.7	0	F	1	pCalc
5.75	5.75	4.7	1	F	1	pCalc
2	3.75	5.7	0	M	1	pCalc
2	6.25	6.7	0	F	2	pCalc
5.25	5	5	1	M	2	Stats
4	5	6	1	F	2	Stats
3.25	3	3	0	F	3	Calc
6	6.25	3	1	M	3	Calc
3.25	6.75	5.7	1	F	3	pCalc
3.25	3.5	5.3	0	M	2	Alg
6	6.25	4	1	F	1	Calc
5.75	4.5	3.7	1	F	1	Calc
7	4.25	1	1	F	1	Calc
2.25	5	6.7	0	F	1	pCalc
2	5	7	0	F	1	pCalc
1.25	4	7	0	M	1	pCalc
6.5	5	1	1	F	1	Stats
1.25	3.75	7	0	F	1	Alg
2	5.25	4.7	1	M	2	Calc
2.75	6	4.7	1	F	2	Calc
6	5.75	4.7	1	F	2	Calc
1	6.5	6.7	0	F	2	pCalc
6.75	6.75	4.3	1	M	2	pCalc
4.25	6.25	4	1	F	3	pCalc
2	4	7	0	F	2	Alg
2	3	6.7	0	F	2	Alg
1.75	5	7	0	F	2	Alg
6	7	4.7	1	F	2	Alg
6	5.75	2	1	F	2	Calc
3.75	5	5	0	F	2	Calc
3.75	6.5	3.3	0	M	2	Calc
6	6.5	5.3	1	M	2	pCalc
6	6.25	3.7	1	M	2	pCalc
7	7	2	1	F	2	pCalc
6	6.75	2.7	1	M	2	Stats
2	6	5.7	1	F	3	Alg
5.75	7	7	1	M	3	Alg
4.5	7	5.7	1	M	3	Calc
2.5	5.25	5.3	0	F	3	pCalc
1.5	6	6.3	0	F	3	pCalc
6	6.75	4	1	F	4	Calc
6	7	2.7	1	F	4	Calc
5	4.25	6	1	M	4	Calc
3.75	4.75	7	0	F	4	Calc
1.75	4.25	4.7	1	F	4	pCalc
3.25	6.75	6.7	0	F	1	Alg
1	1.75	7	0	M	1	Alg
6.25	6.75	3.3	1	M	1	Alg
4.75	4	7	0	F	1	Alg
6.25	7	4	1	F	1	Calc
5.75	6.25	4.7	1	F	1	Calc
2.5	6	5	0	F	1	pCalc
4	7	4	1	F	1	pCalc
6	6	6.7	1	F	1	pCalc
1.25	2.5	3.7	1	F	1	pCalc
4.75	6	4.3	1	F	1	pCalc
6.75	7	5.3	1	M	1	pCalc
3.75	6.75	4.3	0	F	1	pCalc
4.5	7	6	1	F	1	pCalc
3.75	5.5	5.3	0	M	1	pCalc
2	6	5.7	0	F	1	pCalc
6	6.25	4.3	1	F	1	pCalc
1.5	6.75	6.7	1	F	1	Stats
1.75	6.25	6.7	0	M	1	Stats
6.25	5.75	5.7	1	M	2	Alg
2.75	6.5	7	0	F	2	Alg
3.75	6.5	5.7	1	F	2	Calc
5.75	6.75	2	1	F	2	pCalc
1	6.5	6.3	0	F	2	pCalc
3.25	5	4.7	1	F	3	Alg
5.5	6.5	4.3	1	F	3	Alg
2	6	5.3	1	F	3	Calc
2	4.75	6.7	1	F	3	Calc
6	4	2	1	F	3	Calc
7	7	2	1	M	3	Calc
1	2	4	0	F	3	pCalc
1	4.75	6.3	0	F	3	pCalc
2	7	7	1	F	3	pCalc
1	4.75	6.3	0	F	3	pCalc
5.75	5.75	6.3	0	M	3	pCalc
7	7	2.7	1	F	4	Calc
5.5	6	5.7	1	M	4	pCalc
3.5	7	6	0	F	1	Calc
6.5	6	3.3	1	F	1	Calc
6	6	4	1	F	1	Calc
7	7	2.7	1	F	1	Calc
2	5	6	0	F	1	Calc
6.25	4.75	3	1	F	1	Calc
7	7	7	1	F	1	Calc
6	7	6	0	M	1	Calc
5.5	5.75	6	1	F	1	Calc
7	7	3	1	M	1	Calc
7	7	4.7	1	F	1	Calc
5.25	5.75	7	1	F	1	Calc
2.25	5	6.7	0	F	1	Calc
2.5	5.25	6	0	F	1	Calc
6	7	3.7	1	F	1	Calc
6	5.5	2	1	M	1	Calc
5.25	7	6	0	F	1	Calc
2	2	7	0	F	1	pCalc
2	5	6	0	M	1	pCalc
3.25	5	6	0	F	1	pCalc
4.75	6.5	5.3	1	F	1	Stats
4.5	6.25	4.7	1	F	1	Stats
5	5.75	4.7	0	F	2	Calc
5.75	6.5	5.7	0	M	2	Calc
3.5	6.5	6.7	0	F	2	Calc
3.5	4.75	6.3	0	F	2	Calc
3.5	6.25	5	0	F	2	Calc
6.5	6	4	1	F	2	Calc
2	6.25	5.7	0	M	2	Calc
5	5.5	6	0	F	2	Calc
4	5	6	0	M	2	Calc
5.25	7	5.7	1	F	2	Calc
6.25	7	2.3	1	M	2	Calc
4.5	6.75	6.7	1	F	2	Calc
4.75	3.25	4	1	M	2	Calc
7	5	5	1	F	2	Calc
7	6	1.7	1	M	2	Calc
5.5	6.25	7	0	F	2	Calc
5	7	3.7	1	F	2	Calc
5.5	5.5	6.3	1	F	3	Calc
1	3	7	0	F	3	Calc
4.75	7	5.3	0	F	3	Calc
4	5.5	2.7	0	F	3	Calc
5	7	3.7	1	M	3	Calc
4.75	5.75	3.7	1	F	3	Calc
5	6.25	3.3	1	M	3	Calc
1	1	7	0	F	3	Calc
5.75	7	6	1	F	3	Calc
2	6	3.7	0	M	3	Calc
5	6.5	7	1	F	3	Calc
6.75	6	3	1	F	3	Calc
7	7	4.3	1	F	3	Calc
5.5	6.75	3	1	F	3	Calc
3.5	6	6.3	0	M	3	Calc
3.75	6	2.3	1	M	3	Calc
4	6	6.7	1	F	3	pCalc
7	7	3.3	1	F	3	pCalc
4	5	5	0	F	3	pCalc
3	4	6	0	F	3	pCalc
3.5	5.25	7	0	F	3	pCalc
